Designator,Footprint,Quantity,Value,LCSC Part #
"C11, C15, C16, C18, C21, C22, C24, C25",0402,8,100nF,
"C12, C14, C17, C23",0603,4,1uF,C15849
C13,1206,1,22uF,C5672
"C19, C20",0603,2,10u10V,C19702
"C26, C27, C28, C29, C30, C31, C32, C33",0402,8,10nF,
"D11, D12, D13",0603,3,BLUE,C72041
D14,0603,1,GREEN,C72043
"D15, D19, D20",D_SOD-123,3,B5819W,C8598
D16,0603,1,RED,C2286
D17,0603,1,WHITE,C2290
D18,0603,1,YELLOW,C72038
"FB11, FB12",0805,2,CBM201209U601T,C139168
J11,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,SWD,C144395
J12,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,NODE,C144395
J13,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,1,BOOTLDR,C144397
J14,DB141V-2.54-09P-C,1,Clamp_Terminal_01x09,C2898761
"J18, J19",JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,2,B6B,C144397
PCB11,Dyer_ADC_78x28,1,~,
"R11, R12, R14, R15, R16, R17, R18, R19, R20, R21, R31",0402,11,4k7,
"R13, R23, R24, R25, R26, R27, R28, R29, R30",0402,9,2k2,
R22,0402,1,6k8,
"R32, R33, R34, R35, R36, R37, R38, R39",0402,8,1k0,
U11,LQFP-48_7x7mm_P0.5mm,1,STM32G070CBTx,C529338
"U12, U14",SOT-23-5,2,74LVC1G07,C5124976
U13,SOT-23,1,HXY6206I-3V3,C5148688
U15,SOT-23-5,1,MT9700,C89855
"U16, U17",SOT-23-6,2,SRV05-4,C2836319
