Designator,Mid X,Mid Y,Rotation,Layer
C11,30.79,11.43,180.0,top
C12,31.52,6.93,90.0,top
C13,9.49,17.28,0.0,top
C14,14.12,15.32,0.0,top
C15,25.96,6.38,270.0,top
C16,22.11,12.93,0.0,top
C17,16.8,17.735,270.0,top
C18,8.52,15.54,0.0,top
C19,74.14,30.5075,0.0,top
C20,74.13,24.7975,0.0,top
C21,28.9,11.43,0.0,top
C22,26.66,11.42,180.0,top
C23,26.98,8.13,0.0,top
C24,34.49,5.67,0.0,top
C25,34.49,6.67,0.0,top
C26,40.74,7.6,0.0,top
C27,40.74,10.14,0.0,top
C28,40.74,12.68,0.0,top
C29,40.74,15.22,0.0,top
C30,40.74,17.76,0.0,top
C31,40.74,20.3,0.0,top
C32,40.74,22.84,0.0,top
C33,40.74,25.38,0.0,top
D11,12.73,24.28,270.0,top
D12,14.34,24.28,270.0,top
D13,15.95,24.28,270.0,top
D14,17.56,24.28,270.0,top
D15,10.12,13.48,180.0,top
D16,19.17,24.28,270.0,top
D17,22.39,24.28,270.0,top
D18,20.78,24.28,270.0,top
D19,9.5575,19.68,180.0,top
D20,9.95,23.36,90.0,top
FB11,27.27,9.9,180.0,top
FB12,19.24,13.3,180.0,top
J11,10.71,9.38,0.0,top
J12,4.09,22.72,270.0,top
J13,10.51,29.81,0.0,top
J14,47.5,7.6,90.0,top
J18,75.06,20.57,270.0,top
J19,68.28,29.98,270.0,top
PCB11,-0.01,33.01,0.0,top
R11,13.521356,21.52,90.0,top
R12,14.759462,21.52,90.0,top
R13,29.03,6.36,270.0,top
R14,15.997568,21.52,90.0,top
R15,17.235674,21.52,90.0,top
R16,18.47378,21.52,90.0,top
R17,20.949998,21.52,90.0,top
R18,19.711886,21.52,90.0,top
R19,27.98,6.36,270.0,top
R20,24.07,12.93,0.0,top
R21,15.0,12.82,0.0,top
R22,76.6,24.7775,180.0,top
R23,42.73,7.6,0.0,top
R24,42.73,10.14,0.0,top
R25,42.73,12.68,0.0,top
R26,42.73,15.22,0.0,top
R27,42.73,17.76,0.0,top
R28,42.73,20.3,0.0,top
R29,42.73,22.84,0.0,top
R30,42.73,25.38,0.0,top
R31,34.63,19.3,270.0,top
R32,38.74,7.6,180.0,top
R33,38.74,10.14,180.0,top
R34,38.74,12.68,180.0,top
R35,38.74,15.22,180.0,top
R36,38.74,17.76,180.0,top
R37,38.74,20.3,180.0,top
R38,38.74,22.84,180.0,top
R39,38.74,25.38,180.0,top
U11,28.53,18.38,90.0,top
U12,23.3,7.18,0.0,top
U13,14.0625,17.87,180.0,top
U14,23.3,10.65,0.0,top
U15,74.91,27.6775,90.0,top
U16,34.44,9.42,0.0,top
U17,38.71,29.44,0.0,top
